t,n_obstacles,max_obs_speed,min_obstacle_dist
78.584,2,0.0,2.181
78.702,2,0.0,2.18
78.757,2,0.0,2.197
78.886,2,0.0,2.197
79.132,2,0.0,2.201
79.294,2,0.0,2.197
79.35,2,0.0,2.178
79.439,2,0.0,2.178
79.549,2,0.0,2.204
79.828,2,0.0,2.198
80.165,2,0.0,2.187
80.37,2,0.0,2.187
80.49,2,0.0,2.197
80.598,2,0.0,2.2
80.708,2,0.0,2.195
80.832,2,0.0,2.195
80.958,2,0.0,2.19
81.111,2,0.0,2.2
81.225,2,0.0,2.2
81.391,2,0.0,2.191
81.453,2,0.0,2.199
81.514,2,0.0,2.194
81.691,2,0.0,2.194
81.848,2,0.0,2.182
82.285,2,0.0,2.2
82.442,2,0.0,2.19
82.497,2,0.0,2.184
82.671,2,0.0,2.184
82.786,2,0.0,2.185
82.921,2,0.0,2.183
83.03,2,0.0,2.194
83.087,2,0.0,2.194
83.264,2,0.0,2.197
83.518,3,0.0,2.172
83.735,3,0.0,2.172
83.84,3,0.0,2.172
83.955,3,0.0,2.185
84.147,2,0.0,2.193
84.265,2,0.0,2.211
84.47,2,0.0,2.193
84.732,2,0.0,2.189
84.858,2,0.0,2.191
85.023,2,0.0,2.187
85.141,2,0.0,2.187
85.315,3,0.0,2.181
85.378,3,0.0,2.183
85.705,3,0.0,2.202
85.823,3,0.0,2.198
85.912,3,0.0,2.198
86.073,2,0.0,2.197
86.134,2,0.0,2.199
86.252,2,0.0,2.204
86.408,2,0.0,2.204
86.595,2,0.0,2.201
86.65,2,0.0,2.195
86.71,2,0.0,2.195
86.824,2,0.0,2.195
86.97,2,0.0,2.197
87.029,2,0.0,2.196
87.142,2,0.0,2.204
87.265,2,0.0,2.204
87.349,2,0.0,2.204
87.46,2,0.0,2.202
87.696,2,0.0,2.21
87.886,2,0.0,2.205
87.939,2,0.0,2.196
88.051,2,0.0,2.17
88.202,2,0.0,2.17
88.395,2,0.0,2.172
88.476,2,0.0,2.172
88.638,2,0.0,2.172
88.775,2,0.0,2.172
88.881,2,0.0,2.18
88.986,2,0.0,2.191
89.04,2,0.0,2.191
89.152,2,0.0,2.201
89.257,2,0.0,2.201
89.368,2,0.0,2.201
89.478,2,0.0,2.184
89.848,2,0.0,2.199
89.985,2,0.0,2.212
90.182,2,0.0,2.206
90.331,2,0.0,2.208
90.39,2,0.0,2.208
90.536,3,0.0,2.198
90.794,3,0.0,2.191
90.915,3,0.0,2.182
91.023,3,0.0,2.186
91.207,3,0.0,2.191
91.318,3,0.0,2.209
91.436,3,0.0,2.203
91.549,2,0.0,2.197
91.656,2,0.0,2.197
91.948,2,0.0,2.223
92.191,2,0.0,2.213
92.337,2,0.0,2.186
92.393,2,0.0,2.186
92.537,2,0.0,2.181
92.61,2,0.0,2.201
92.727,2,0.0,2.188
92.938,2,0.0,2.207
93.054,2,0.0,2.198
93.188,2,0.0,2.198
93.347,2,0.0,2.198
93.477,2,0.0,2.197
93.638,2,0.0,2.185
93.747,2,0.0,2.185
93.883,2,0.0,2.188
94.058,2,0.0,2.197
94.168,2,0.0,2.197
94.234,2,0.0,2.189
94.311,2,0.0,2.181
94.475,2,0.0,2.166
94.58,2,0.0,2.166
94.697,2,0.0,2.181
94.814,2,0.0,2.175
95.159,2,0.0,2.214
95.268,2,0.0,2.186
95.391,2,0.0,2.177
95.496,2,0.0,2.177
95.614,2,0.0,2.181
95.672,2,0.0,2.181
95.799,2,0.0,2.186
95.932,2,0.0,2.186
96.129,2,0.0,2.189
96.25,2,0.0,2.172
96.39,2,0.0,2.172
96.482,2,0.0,2.17
96.546,2,0.0,2.183
96.657,2,0.0,2.192
96.763,2,0.0,2.192
96.846,2,0.0,2.192
96.982,3,0.0,2.177
97.12,2,0.0,2.184
97.279,2,0.0,2.186
97.526,2,0.0,2.18
97.69,2,0.0,2.203
97.748,2,0.0,2.203
