t,n_obstacles,max_obs_speed,min_obstacle_dist
49.884,3,0.1468,0.738
50.021,3,0.1468,0.738
50.153,3,0.1089,0.707
50.373,3,0.0,0.705
50.507,3,0.0,0.705
50.628,3,0.1896,0.743
50.809,3,0.2521,0.72
51.092,3,0.0,0.712
51.25,3,0.0,0.707
51.306,3,0.0,0.707
51.43,3,0.0,0.708
51.539,3,0.0,0.703
51.666,3,0.0,0.703
51.726,3,0.0,0.703
51.852,3,0.0644,0.711
52.139,3,0.0829,0.711
52.271,3,0.0054,0.704
52.432,3,0.0,0.704
52.488,3,0.0,0.704
52.554,3,0.0,0.704
52.712,3,0.0,0.708
52.815,3,0.0,0.708
52.882,3,0.0,0.712
53.142,3,0.0219,0.705
53.295,3,0.0,0.704
53.365,3,0.0798,0.711
53.488,3,0.0507,0.706
53.715,3,0.0168,0.706
53.874,3,0.085,0.711
54.226,3,0.0,0.712
54.347,3,0.0633,0.707
54.51,3,0.0633,0.707
54.566,3,0.0,0.704
54.675,3,0.0,0.704
54.732,3,0.197,0.744
54.922,3,0.2408,0.719
55.128,3,0.0,0.704
55.248,3,0.0866,0.711
55.402,3,0.0866,0.711
55.498,3,0.044,0.707
55.566,3,0.0,0.704
55.629,3,0.087,0.71
55.748,3,0.0943,0.708
55.915,3,0.0943,0.708
56.008,3,0.0,0.711
56.163,3,0.0,0.711
56.264,3,0.0,0.711
56.454,3,0.0,0.713
56.514,3,0.0,0.712
56.57,3,0.0,0.712
56.818,3,0.0,0.706
56.967,3,0.0,0.707
57.027,3,0.0,0.707
57.482,3,0.0,0.705
57.67,3,0.0,0.709
57.812,3,0.0,0.709
57.933,3,0.2313,0.717
58.109,3,0.0,0.706
58.279,3,0.0,0.712
58.462,3,0.0,0.712
58.525,3,0.0738,0.706
58.583,3,0.0738,0.706
58.692,3,0.0738,0.706
58.786,3,0.0738,0.706
58.892,3,0.0241,0.705
59.022,4,0.0,0.706
59.083,4,0.0,0.706
59.194,4,0.0,0.706
59.46,4,0.0,0.712
59.649,3,0.0715,0.706
59.756,3,0.0302,0.705
59.815,3,0.0,0.705
59.869,3,0.0,0.709
60.047,3,0.0,0.705
60.103,3,0.0,0.704
60.189,3,0.0,0.704
60.303,3,0.0,0.703
60.419,3,0.2354,0.748
60.562,3,0.2354,0.748
60.719,3,0.03,0.709
60.774,3,0.1223,0.706
60.886,3,0.0924,0.712
60.998,3,0.0924,0.712
61.1,3,0.0924,0.712
61.193,3,0.0824,0.704
61.309,3,0.0,0.703
61.608,3,0.0,0.709
61.708,3,0.0,0.709
61.828,3,0.0,0.709
62.019,3,0.0,0.713
62.148,3,0.0,0.713
62.22,4,0.0571,0.706
62.33,3,0.009,0.704
62.681,3,0.0531,0.704
62.802,3,0.0,0.707
62.932,3,0.0,0.711
63.057,3,0.0,0.714
63.119,3,0.0524,0.707
63.192,4,0.012,0.706
63.43,4,0.012,0.706
63.634,3,0.0,0.71
63.817,3,0.0,0.705
63.95,3,0.0,0.705
64.065,3,0.2289,0.722
64.28,4,0.1199,0.714
64.463,3,0.0,0.708
64.749,3,0.0,0.706
64.869,3,0.0,0.709
64.988,3,0.0,0.706
65.131,3,0.0,0.706
65.289,3,0.0,0.712
65.41,3,0.0901,0.716
65.526,3,0.0699,0.712
65.864,3,0.0,0.705
65.976,3,0.0,0.709
66.108,3,0.0,0.709
66.194,3,0.0,0.709
66.289,3,0.207,0.746
66.407,3,0.2303,0.715
66.492,3,0.207,0.707
66.749,3,0.0086,0.713
66.864,3,0.0,0.71
67.033,3,0.0,0.71
67.134,3,0.0,0.707
67.2,3,0.0,0.712
67.267,3,0.0,0.712
67.409,3,0.0468,0.706
67.485,3,0.0468,0.706
67.561,3,0.038,0.704
67.701,3,0.0,0.702
67.756,3,0.0,0.702
67.912,3,0.0,0.703
68.005,3,0.0,0.704
68.064,3,0.0,0.707
68.185,3,0.0,0.71
68.315,3,0.0,0.705
68.382,3,0.0,0.705
68.471,3,0.0,0.708
68.584,3,0.0,0.705
68.668,3,0.0,0.705
68.824,3,0.0832,0.711
68.883,3,0.003,0.711
69.011,3,0.1415,0.742
69.092,3,0.1415,0.742
69.237,3,0.2881,0.718
69.297,3,0.141,0.716
69.37,3,0.0805,0.706
69.487,3,0.1237,0.716
69.615,3,0.1237,0.716
69.847,3,0.0149,0.711
70.004,3,0.0,0.709
70.064,3,0.0,0.709
70.185,3,0.0,0.705
70.289,3,0.0,0.708
70.363,3,0.0,0.714
70.45,3,0.0,0.714
70.563,4,0.0905,0.712
70.743,4,0.0405,0.715
71.015,4,0.0705,0.706
71.18,4,0.0,0.705
71.239,4,0.0,0.705
71.324,4,0.0,0.711
71.446,4,0.0573,0.706
71.568,4,0.0,0.706
71.651,4,0.0,0.706
71.813,4,0.0,0.705
71.958,4,0.0,0.704
72.116,4,0.0,0.704
72.18,4,0.0,0.703
72.27,4,0.0,0.703
72.392,4,0.0,0.705
72.563,4,0.0,0.705
72.667,4,0.0,0.708
72.791,4,0.0,0.711
73.155,3,0.0,0.71
73.27,3,0.0,0.705
73.394,3,0.0924,0.711
73.483,3,0.0924,0.711
73.566,3,0.0519,0.707
73.685,3,0.0,0.703
73.896,3,0.0,0.709
74.13,3,0.0,0.705
74.246,3,0.0,0.708
74.35,3,0.0,0.708
74.435,3,0.0,0.708
74.535,3,0.0,0.706
74.666,3,0.1707,0.742
74.731,3,0.1707,0.742
74.836,3,0.1707,0.742
75.106,3,0.0355,0.706
