epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,13406.8,1.15147,1.18285,1.1942,0.50361,0.35479,0.36073,0.24223,1.30048,1.62064,1.29232,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,13566.7,1.14604,1.17829,1.19452,0.49568,0.35858,0.36088,0.24228,1.30008,1.62074,1.29212,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,13725.9,1.14467,1.17307,1.19218,0.49322,0.36109,0.3612,0.24274,1.2998,1.6204,1.29175,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,13885.2,1.14202,1.16584,1.18874,0.48896,0.36235,0.36102,0.24268,1.30004,1.62019,1.29195,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,14045.2,1.14102,1.16549,1.18964,0.49055,0.36093,0.3609,0.24301,1.29973,1.62053,1.29174,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,14204.7,1.13511,1.15316,1.18646,0.48763,0.36374,0.36132,0.24313,1.30013,1.62009,1.29191,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,14364.7,1.1337,1.14888,1.18463,0.49129,0.36234,0.36125,0.2432,1.30014,1.62076,1.29207,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,14524.2,1.13278,1.14434,1.18225,0.49123,0.36332,0.36135,0.24313,1.30008,1.62071,1.29207,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,14683,1.1354,1.14437,1.18292,0.49412,0.36214,0.36216,0.24329,1.30009,1.62105,1.29215,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,14841.7,1.12737,1.12553,1.17821,0.49436,0.36139,0.36142,0.24305,1.30015,1.62173,1.29211,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,15001.1,1.11996,1.1243,1.17478,0.4964,0.35944,0.36095,0.24289,1.30084,1.6219,1.29287,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,15160.1,1.12408,1.11737,1.175,0.49189,0.36177,0.36101,0.24297,1.30076,1.62325,1.29292,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,15320.5,1.12007,1.11601,1.17325,0.49262,0.36208,0.36125,0.24317,1.30101,1.62416,1.29325,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,15480.3,1.1174,1.1122,1.17268,0.49252,0.36133,0.36114,0.24344,1.30117,1.62441,1.29328,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,15639.8,1.11236,1.0958,1.1667,0.49003,0.36175,0.36126,0.24305,1.30098,1.62474,1.29317,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,15799.7,1.11261,1.09969,1.16975,0.48715,0.36394,0.36149,0.24314,1.30131,1.62554,1.29329,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,15959.2,1.10758,1.09116,1.16837,0.48958,0.36262,0.36176,0.24341,1.3016,1.62569,1.29345,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,16118.8,1.10445,1.08321,1.16302,0.48783,0.36338,0.36158,0.24312,1.30186,1.62623,1.29359,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,16278.3,1.10458,1.07344,1.16338,0.48206,0.36738,0.36192,0.24347,1.30199,1.62677,1.29376,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,16437.9,1.09848,1.07281,1.15858,0.48028,0.36899,0.36186,0.24339,1.30223,1.62692,1.29401,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,16597.4,1.09805,1.06824,1.15805,0.47847,0.36945,0.36182,0.24334,1.30236,1.62756,1.29415,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,16756.9,1.09469,1.05896,1.15404,0.47419,0.37145,0.36174,0.2433,1.30286,1.62865,1.29429,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,16916.3,1.09012,1.05194,1.15412,0.47331,0.37202,0.36173,0.24327,1.30316,1.62919,1.29473,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,17075.6,1.09467,1.04936,1.15433,0.46891,0.37371,0.36153,0.24313,1.30362,1.62951,1.295,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,17234.7,1.08641,1.0383,1.14996,0.47398,0.37085,0.36147,0.24288,1.30384,1.63019,1.29535,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,17393.7,1.08283,1.04089,1.14888,0.46149,0.37042,0.36116,0.243,1.30428,1.6311,1.29585,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,17552,1.08541,1.03402,1.14887,0.46316,0.37058,0.36121,0.24285,1.30444,1.63166,1.29608,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,17710.8,1.08185,1.02474,1.14715,0.46129,0.37127,0.36107,0.2429,1.30478,1.63224,1.29621,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,17869.5,1.07643,1.01769,1.14078,0.4616,0.37027,0.36091,0.2426,1.3048,1.63323,1.29634,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,18028.6,1.0724,1.01274,1.13888,0.45894,0.37031,0.3608,0.24281,1.30493,1.63418,1.29645,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,18187.6,1.07036,1.00599,1.13873,0.4598,0.36966,0.36068,0.2426,1.30514,1.63506,1.29666,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,18346.9,1.06623,0.99866,1.13671,0.46187,0.3685,0.36066,0.24243,1.30514,1.63587,1.29664,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,18506.1,1.06324,0.99778,1.13477,0.46228,0.36824,0.36049,0.2423,1.30513,1.63723,1.29651,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,18665.8,1.06755,0.99248,1.13526,0.46281,0.36674,0.36015,0.24196,1.30537,1.63774,1.29668,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,18825.2,1.05845,0.97996,1.12905,0.46366,0.36587,0.36028,0.24183,1.3055,1.63866,1.29669,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,18984.6,1.05824,0.98164,1.12996,0.46291,0.36639,0.36017,0.24181,1.30565,1.63946,1.29685,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,19143.9,1.05637,0.9811,1.12845,0.46558,0.36508,0.36003,0.24177,1.30613,1.6401,1.29725,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,19304,1.05431,0.97481,1.12647,0.46215,0.36696,0.36004,0.24171,1.30642,1.64074,1.29722,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,19464.8,1.05007,0.96313,1.12313,0.45934,0.36737,0.35983,0.24137,1.30681,1.64187,1.29748,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,19625.3,1.04336,0.95905,1.12294,0.45581,0.36923,0.35963,0.24138,1.30716,1.64274,1.29793,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,19784.8,1.04615,0.95286,1.12109,0.45675,0.36848,0.35942,0.24129,1.30765,1.64361,1.29813,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,19944,1.04217,0.94892,1.12074,0.45585,0.36893,0.3594,0.24129,1.30789,1.64417,1.29825,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,20102.5,1.04143,0.94455,1.11844,0.45754,0.36821,0.35943,0.24107,1.30844,1.64541,1.29864,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,20261.5,1.0348,0.94142,1.11729,0.45737,0.36816,0.35898,0.24131,1.30877,1.64643,1.29891,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,20420.3,1.03161,0.93046,1.11352,0.45789,0.36709,0.35883,0.24107,1.30926,1.64763,1.29914,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,20578.9,1.03227,0.93427,1.11505,0.45775,0.36845,0.35878,0.24117,1.30959,1.64869,1.29929,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,20737.5,1.02795,0.9183,1.10871,0.45861,0.3682,0.35897,0.24101,1.30992,1.64987,1.29948,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,20895.9,1.02699,0.91769,1.1091,0.45909,0.36751,0.35903,0.24089,1.3105,1.65122,1.29988,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,21054.1,1.02407,0.91198,1.10735,0.46055,0.3673,0.35875,0.24072,1.31076,1.65226,1.29994,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,21212.7,1.02092,0.90555,1.10557,0.4589,0.36755,0.35852,0.24057,1.31129,1.65354,1.30031,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,21371.9,1.01729,0.89752,1.10196,0.46177,0.36629,0.35855,0.24064,1.31184,1.65458,1.30068,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,21531.2,1.01365,0.89625,1.10221,0.45848,0.36879,0.35859,0.24047,1.31239,1.65563,1.30097,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,21691,1.01338,0.89574,1.10075,0.45818,0.36833,0.3585,0.2404,1.31288,1.65689,1.30133,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,21849.9,1.00787,0.88841,1.09721,0.4608,0.36678,0.35847,0.24014,1.31365,1.65807,1.30185,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,22009.3,1.01328,0.88606,1.09949,0.46371,0.36589,0.35844,0.23996,1.31414,1.65935,1.30231,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
